iter	Passed	Remaining
429	2417	3205
430	2425	3202
431	2433	3199
432	2443	3199
433	2452	3197
434	2459	3194
435	2467	3192
436	2474	3188
437	2482	3185
438	2489	3181
439	2496	3176
440	2501	3170
441	2508	3166
442	2516	3164
443	2524	3161
444	2531	3157
445	2539	3154
446	2546	3150
447	2554	3146
448	2562	3144
449	2569	3141
450	2576	3136
451	2582	3131
452	2590	3127
453	2599	3126
454	2607	3122
455	2616	3120
456	2626	3120
457	2635	3118
458	2643	3116
459	2653	3115
460	2661	3112
461	2669	3108
462	2675	3103
463	2683	3099
464	2689	3094
465	2697	3091
466	2704	3086
467	2712	3083
468	2721	3080
469	2728	3076
470	2734	3071
471	2743	3068
472	2749	3063
473	2756	3058
474	2764	3055
475	2771	3050
476	2778	3046
477	2785	3041
478	2792	3036
479	2799	3032
480	2806	3028
481	2813	3023
482	2821	3020
483	2831	3018
484	2838	3014
485	2848	3012
486	2855	3007
487	2864	3005
488	2872	3001
489	2879	2997
490	2886	2992
491	2892	2986
492	2901	2983
493	2909	2980
494	2920	2979
495	2928	2975
496	2934	2970
497	2941	2965
498	2950	2962
499	2957	2957
500	2966	2954
501	2973	2949
502	2981	2945
503	2986	2939
504	2993	2934
505	3000	2929
506	3009	2926
507	3020	2925
508	3028	2921
509	3035	2916
510	3045	2913
511	3054	2911
512	3061	2905
513	3069	2902
514	3076	2897
515	3083	2892
516	3089	2886
517	3096	2880
518	3104	2877
519	3112	2873
520	3120	2868
521	3128	2864
522	3135	2860
523	3143	2855
524	3152	2852
525	3159	2847
526	3166	2842
527	3174	2837
528	3180	2832
529	3188	2827
530	3196	2822
531	3201	2816
532	3208	2810
533	3217	2807
534	3226	2803
535	3231	2797
536	3242	2795
537	3252	2792
538	3264	2791
539	3272	2787
540	3282	2784
541	3289	2779
542	3297	2775
543	3309	2773
544	3319	2770
545	3327	2767
546	3337	2763
547	3346	2760
548	3355	2756
549	3366	2754
550	3376	2751
551	3384	2746
552	3390	2740
553	3395	2733
554	3404	2729
555	3412	2724
556	3421	2720
557	3428	2715
558	3435	2709
559	3444	2706
560	3451	2701
561	3459	2696
562	3467	2691
563	3473	2685
564	3482	2681
565	3490	2676
566	3497	2670
567	3504	2665
568	3513	2661
569	3522	2657
570	3529	2651
571	3538	2647
572	3544	2641
573	3553	2637
574	3561	2632
575	3568	2626
576	3574	2620
577	3581	2614
578	3587	2608
579	3594	2603
580	3602	2598
581	3611	2594
582	3622	2591
583	3632	2587
584	3641	2583
585	3651	2579
586	3661	2576
587	3672	2573
588	3682	2569
589	3691	2565
590	3701	2561
591	3711	2558
592	3720	2553
593	3728	2548
594	3735	2542
595	3742	2537
596	3750	2531
597	3757	2526
598	3764	2520
599	3769	2512
600	3775	2506
601	3784	2502
602	3793	2497
603	3802	2493
604	3812	2488
605	3823	2486
606	3832	2481
607	3840	2476
608	3847	2470
609	3857	2466
610	3868	2462
611	3876	2457
612	3884	2452
613	3891	2446
614	3899	2441
615	3904	2434
616	3910	2427
617	3917	2421
618	3925	2415
619	3935	2411
620	3942	2406
621	3949	2400
622	3955	2393
623	3963	2388
624	3971	2382
625	3979	2377
626	3986	2371
627	3994	2366
628	4000	2359
629	4007	2353
630	4014	2347
631	4021	2341
632	4029	2336
633	4036	2330
634	4044	2324
635	4051	2319
636	4061	2314
637	4070	2309
638	4077	2303
639	4084	2297
640	4090	2291
641	4098	2285
642	4106	2280
643	4113	2274
644	4121	2268
645	4129	2262
646	4137	2257
647	4142	2250
648	4150	2244
649	4156	2238
650	4164	2232
651	4172	2226
652	4181	2221
653	4189	2216
654	4197	2211
655	4204	2204
656	4210	2198
657	4221	2194
658	4230	2189
659	4239	2184
660	4252	2180
661	4266	2178
662	4276	2173
663	4285	2168
664	4295	2163
665	4302	2157
666	4309	2151
667	4315	2144
668	4323	2139
669	4331	2133
670	4338	2127
671	4344	2120
672	4351	2114
673	4358	2107
674	4363	2100
675	4370	2094
676	4377	2088
677	4384	2082
678	4390	2075
679	4397	2069
680	4403	2062
681	4410	2056
682	4419	2051
683	4427	2045
684	4433	2038
685	4443	2033
686	4452	2028
687	4462	2023
688	4468	2017
689	4476	2010
690	4481	2004
691	4489	1998
692	4495	1991
693	4503	1985
694	4510	1979
695	4519	1974
696	4527	1967
697	4534	1961
698	4541	1955
699	4548	1949
700	4557	1943
701	4563	1937
702	4569	1930
703	4575	1923
704	4582	1917
705	4589	1911
706	4595	1904
707	4601	1897
708	4608	1891
709	4616	1885
710	4624	1879
711	4631	1873
712	4638	1866
713	4646	1861
714	4655	1855
715	4663	1849
716	4672	1844
717	4678	1837
718	4685	1831
719	4693	1825
720	4701	1819
721	4710	1813
722	4717	1807
723	4724	1801
724	4732	1795
725	4738	1788
726	4744	1781
727	4751	1775
728	4757	1768
729	4764	1762
730	4772	1756
731	4779	1749
732	4786	1743
733	4792	1736
734	4799	1730
735	4806	1724
736	4813	1717
737	4821	1711
738	4828	1705
739	4836	1699
740	4845	1693
741	4850	1686
742	4857	1680
743	4866	1674
744	4875	1668
745	4883	1662
746	4891	1656
747	4898	1650
748	4904	1643
749	4911	1637
750	4918	1630
751	4925	1624
752	4932	1617
753	4940	1611
754	4948	1605
755	4956	1599
756	4962	1593
757	4969	1586
758	4976	1580
759	4982	1573
760	4989	1566
761	4995	1560
762	5003	1554
763	5012	1548
764	5020	1542
765	5027	1535
766	5034	1529
767	5042	1523
768	5047	1516
769	5055	1510
770	5063	1504
771	5073	1498
772	5080	1491
773	5089	1485
774	5096	1479
775	5102	1472
776	5110	1466
777	5117	1460
778	5124	1453
779	5131	1447
780	5138	1440
781	5145	1434
782	5153	1428
783	5160	1421
784	5166	1414
785	5172	1408
786	5178	1401
787	5186	1395
788	5193	1388
789	5201	1382
790	5209	1376
791	5217	1370
792	5223	1363
793	5229	1356
794	5236	1350
795	5243	1343
796	5250	1337
797	5258	1331
798	5267	1325
799	5276	1319
800	5283	1312
801	5290	1306
802	5299	1300
803	5306	1293
804	5314	1287
805	5320	1280
806	5329	1274
807	5336	1268
808	5343	1261
809	5349	1254
810	5355	1248
811	5361	1241
812	5368	1234
813	5375	1228
814	5380	1221
815	5388	1215
816	5394	1208
817	5402	1201
818	5409	1195
819	5417	1189
820	5424	1182
821	5431	1176
822	5439	1169
823	5446	1163
824	5455	1157
825	5464	1151
826	5473	1144
827	5479	1138
828	5486	1131
829	5495	1125
830	5503	1119
831	5510	1112
832	5518	1106
833	5526	1099
834	5533	1093
835	5541	1087
836	5547	1080
837	5554	1073
838	5560	1066
839	5567	1060
840	5574	1053
841	5580	1047
842	5587	1040
843	5593	1033
844	5600	1027
845	5607	1020
846	5613	1014
847	5621	1007
848	5627	1000
849	5633	994
850	5640	987
851	5646	980
852	5655	974
853	5663	968
854	5671	961
855	5678	955
856	5685	948
857	5692	942
858	5702	935
859	5709	929
860	5717	923
861	5725	916
862	5732	910
863	5740	903
864	5748	897
865	5755	890
866	5761	883
867	5768	877
868	5777	870
869	5785	864
870	5794	858
871	5802	851
872	5808	845
873	5815	838
874	5823	831
875	5830	825
876	5838	818
877	5845	812
878	5851	805
879	5860	799
880	5870	792
881	5877	786
882	5885	779
883	5894	773
884	5904	767
885	5914	761
886	5924	754
887	5932	748
888	5939	741
889	5948	735
890	5957	728
891	5965	722
892	5972	715
893	5980	709
894	5987	702
895	5995	695
896	6001	689
897	6007	682
898	6015	675
899	6021	669
900	6027	662
901	6034	655
902	6041	649
903	6049	642
904	6058	635
905	6067	629
906	6077	623
907	6084	616
908	6093	609
909	6101	603
910	6107	596
911	6114	589
912	6122	583
913	6129	576
914	6136	570
915	6144	563
916	6153	556
917	6159	550
918	6166	543
919	6174	536
920	6179	530
921	6186	523
922	6193	516
923	6201	510
924	6208	503
925	6215	496
926	6222	490
927	6228	483
928	6237	476
929	6243	469
930	6252	463
931	6262	456
932	6273	450
933	6279	443
934	6287	437
935	6296	430
936	6304	423
937	6311	417
938	6318	410
939	6325	403
940	6331	397
941	6339	390
942	6346	383
943	6353	376
944	6360	370
945	6367	363
946	6375	356
947	6384	350
948	6392	343
949	6399	336
950	6406	330
951	6413	323
952	6420	316
953	6428	309
954	6436	303
955	6443	296
956	6450	289
957	6457	283
958	6464	276
959	6474	269
960	6483	263
961	6492	256
962	6499	249
963	6506	242
964	6515	236
965	6524	229
966	6530	222
967	6537	216
968	6544	209
969	6551	202
970	6558	195
971	6566	189
972	6573	182
973	6581	175
974	6588	168
975	6596	162
976	6603	155
977	6608	148
978	6615	141
979	6622	135
980	6629	128
981	6638	121
982	6645	114
983	6653	108
984	6660	101
985	6669	94
986	6679	87
987	6689	81
988	6697	74
989	6703	67
990	6712	60
991	6721	54
992	6729	47
993	6735	40
994	6742	33
995	6750	27
996	6756	20
997	6764	13
998	6772	6
999	6781	0
