iter	RMSE
318	0.1637090673
319	0.1636479369
320	0.1635916722
321	0.1635530432
322	0.1635078492
323	0.1634388125
324	0.1633520346
325	0.1632808266
326	0.1632431347
327	0.1631740087
328	0.1631067394
329	0.1630389851
330	0.1629632374
331	0.1629052541
332	0.1628497585
333	0.162819702
334	0.1627569989
335	0.162720681
336	0.1626722256
337	0.1626142587
338	0.1625307046
339	0.1625036057
340	0.1624685365
341	0.1623723421
342	0.1623149674
343	0.1622724598
344	0.1622261864
345	0.1621648399
346	0.1621110043
347	0.1620663773
348	0.1620646178
349	0.1620201195
350	0.1619819247
351	0.1619229054
352	0.1618668035
353	0.1618183766
354	0.1617820339
355	0.161758025
356	0.1616494109
357	0.1615542641
358	0.1614987718
359	0.1614615954
360	0.161355011
361	0.1612676431
362	0.161220512
363	0.1611675512
364	0.1610566953
365	0.1610041181
366	0.1609287697
367	0.1608668473
368	0.1608181581
369	0.1607944252
370	0.1607543773
371	0.1607142615
372	0.1606788367
373	0.1606447982
374	0.1605997355
375	0.1605133982
376	0.1604528971
377	0.1603398151
378	0.160278736
379	0.1602485158
380	0.1602115512
381	0.1601843015
382	0.1601410042
383	0.160086329
384	0.1600349335
385	0.1599855087
386	0.1599021812
387	0.1598673079
388	0.1598183964
389	0.1597938544
390	0.1597412727
391	0.1597056741
392	0.1596719506
393	0.1596203095
394	0.1595698968
395	0.1595401996
396	0.1594969932
397	0.1594005207
398	0.159320952
399	0.1592632847
400	0.159216817
401	0.1591444431
402	0.1591076461
403	0.1590689275
404	0.1590674037
405	0.1590229733
406	0.1589660769
407	0.1589404527
408	0.1588927012
409	0.1588407554
410	0.1587842487
411	0.1587298313
412	0.1586987852
413	0.1586431566
414	0.1586233344
415	0.1585757671
416	0.1585420239
417	0.1584891993
418	0.1584289653
419	0.1583951895
420	0.1583216392
421	0.1582697366
422	0.1582283409
423	0.1581988124
424	0.1581579143
425	0.1581155997
426	0.1580587726
427	0.1580181247
428	0.1578770023
429	0.1578592154
430	0.1578188629
431	0.1577819446
432	0.1577197556
433	0.1576732932
434	0.1576266158
435	0.157599019
436	0.1575697853
437	0.157510024
438	0.157449166
439	0.1573915796
440	0.1572882781
441	0.1572714869
442	0.1572348773
443	0.1572178724
444	0.1571384516
445	0.1571223307
446	0.1570755624
447	0.1570488594
448	0.1570336359
449	0.156996197
450	0.1569704774
451	0.1569337478
452	0.1568743566
453	0.1568332014
454	0.1568058119
455	0.1567418774
456	0.1567129251
457	0.1566740471
458	0.1566714643
459	0.1566422136
460	0.1566094429
461	0.1565374288
462	0.1565166082
463	0.1564459234
464	0.15638421
465	0.1563614232
466	0.1563322285
467	0.1562663733
468	0.1562428054
469	0.1562093564
470	0.1561665979
471	0.1561179247
472	0.1560530646
473	0.1560277765
474	0.1560135903
475	0.1560012316
476	0.1559714356
477	0.1559260799
478	0.1559086896
479	0.1558937438
480	0.1558685995
481	0.1558299653
482	0.1557761987
483	0.1557510436
484	0.1556931943
485	0.1556484494
486	0.1556192069
487	0.1555726073
488	0.155521112
489	0.1554683292
490	0.1554562498
491	0.1554179537
492	0.1554175011
493	0.1553776943
494	0.155377014
495	0.1553540942
496	0.1553281452
497	0.1552901415
498	0.1552555492
499	0.1552303845
500	0.1551982797
501	0.1551461914
502	0.1551230101
503	0.1550966726
504	0.1550370179
505	0.1550048463
506	0.1549930094
507	0.1549556789
508	0.1549024223
509	0.154858923
510	0.1548160725
511	0.154814488
512	0.1548016462
513	0.1547811492
514	0.1547298287
515	0.1547111642
516	0.1546908611
517	0.1546529327
518	0.1546268797
519	0.1545975263
520	0.1545767084
521	0.1545527346
522	0.1545351619
523	0.1544967331
524	0.1544474504
525	0.1543969309
526	0.1543741981
527	0.1543197197
528	0.1542819175
529	0.1542611076
530	0.154246473
531	0.154218635
532	0.1542046294
533	0.1541778131
534	0.1541534447
535	0.154140722
536	0.1541191144
537	0.1541001532
538	0.1540863706
539	0.1540747152
540	0.1540476855
541	0.1540271037
542	0.1540099674
543	0.1539929625
544	0.1539514758
545	0.1539301622
546	0.1539075166
547	0.1538771178
548	0.1538345409
549	0.1538106506
550	0.1537774586
551	0.1537266769
552	0.1537094802
553	0.1536874753
554	0.1536575847
555	0.1536195855
556	0.1535890044
557	0.1535629301
558	0.153520635
559	0.153454854
560	0.1534362214
561	0.1533983477
562	0.1533315089
563	0.1533033771
564	0.1532808742
565	0.1532644873
566	0.1532132373
567	0.1531925551
568	0.153175807
569	0.1531359864
570	0.1531123245
571	0.1530973575
572	0.153074707
573	0.1530454155
574	0.1529917667
575	0.1529429874
576	0.1529037357
577	0.1528869224
578	0.1528652874
579	0.1528400167
580	0.1528116379
581	0.1527767593
582	0.1527654451
583	0.1527166487
584	0.152685519
585	0.1526680992
586	0.1526360985
587	0.1525928159
588	0.152573508
589	0.1525516079
590	0.1525396757
591	0.1525133702
592	0.1525130214
593	0.1524795756
594	0.1524640624
595	0.1524635368
596	0.1524291176
597	0.1524077942
598	0.1523893937
599	0.1523732367
600	0.1523272691
601	0.1522869836
602	0.152246508
603	0.1522334736
604	0.1521992352
605	0.152178919
606	0.1521432605
607	0.152114202
608	0.1520692313
609	0.1520577154
610	0.1520093473
611	0.1520090858
612	0.1519901084
613	0.1519498524
614	0.1519330116
615	0.1519314685
616	0.1518855356
617	0.151848223
618	0.1518141144
619	0.1517924119
620	0.1517592802
621	0.1517184161
622	0.1517006595
623	0.1516531416
624	0.1516215824
625	0.1516030671
626	0.151592786
627	0.1515380217
628	0.1515156913
629	0.1514775055
630	0.1514771464
631	0.151424808
632	0.1513921591
633	0.1513710901
634	0.1513611334
635	0.1513526858
636	0.1513257765
637	0.1513168217
638	0.1512995943
639	0.1512727426
640	0.151256153
641	0.1512558352
642	0.1512228496
643	0.1511997618
644	0.1511614193
645	0.1511272472
646	0.1510981786
647	0.1510722805
648	0.1510358044
649	0.1510197929
650	0.1510019267
651	0.1509739694
652	0.1509736848
653	0.1509438702
654	0.1509087986
655	0.1508883005
656	0.1508525068
657	0.1508119549
658	0.1507704581
659	0.1507356262
660	0.1506949578
661	0.1506588733
662	0.1506229946
663	0.1505859953
664	0.1505846504
665	0.1505285398
666	0.1504957036
667	0.1504749218
668	0.1504721216
669	0.1504357833
670	0.1504217782
671	0.1503964386
672	0.1503854102
673	0.1503627054
674	0.1503252165
675	0.1503012476
676	0.1502837125
677	0.1502576236
678	0.1502235336
679	0.1502014763
680	0.1501828981
681	0.1501639773
682	0.1501262055
683	0.1501109553
684	0.1501107483
685	0.1500868601
686	0.1500866244
687	0.150068757
688	0.1500240167
689	0.1499903548
690	0.1499548927
691	0.1499393433
692	0.1499390274
693	0.1499186041
694	0.1498992562
695	0.1498568545
696	0.1498315391
697	0.1498313906
698	0.149795206
699	0.1497534962
700	0.1497532542
701	0.1497173729
702	0.1496976078
703	0.1496455241
704	0.1496050857
705	0.1495803016
706	0.1495508843
707	0.1495507045
708	0.1495232225
709	0.1495092163
710	0.1494728551
711	0.1494566441
712	0.1494093516
713	0.1493980767
714	0.1493974404
715	0.1493702114
716	0.1493512062
717	0.1493296485
718	0.1493074194
719	0.1492700654
720	0.1492507534
721	0.1492402573
722	0.1492126338
723	0.1491881416
724	0.1491846976
725	0.149160216
726	0.1491278854
727	0.1491184091
728	0.1491124129
729	0.149102953
730	0.1490856574
731	0.1490703084
732	0.1490620354
733	0.1490488802
734	0.149037578
735	0.1490078657
736	0.1489923107
737	0.1489703419
738	0.1489547788
739	0.1489174325
740	0.1489082696
741	0.1488943852
742	0.1488582785
743	0.1488366496
744	0.1487997651
745	0.1487654354
746	0.1487428213
747	0.1487199101
748	0.148696795
749	0.148681949
750	0.1486562597
751	0.1486151678
752	0.1485774849
753	0.1485472412
754	0.1485138084
755	0.1484936319
756	0.148469806
757	0.1484581347
758	0.1484303188
759	0.1484225862
760	0.1483898321
761	0.1483649121
762	0.1483380946
763	0.1483023778
764	0.1482784609
765	0.1482557859
766	0.1482374403
767	0.1482283713
768	0.1482149573
769	0.1481712238
770	0.1481491546
771	0.1481487022
772	0.1481376223
773	0.1481104618
774	0.1480957687
775	0.1480822821
776	0.1480725541
777	0.1480528478
778	0.1480283715
779	0.1480060056
780	0.1479868318
781	0.1479694597
782	0.1479455971
783	0.1479033706
784	0.1478657022
785	0.1478610174
786	0.1478184169
787	0.1478053112
788	0.1477886542
789	0.1477604706
790	0.1477367282
791	0.1477070343
792	0.1476926545
793	0.1476828579
794	0.1476613214
795	0.1476454352
796	0.1476307338
797	0.1476003384
798	0.1475729649
799	0.1475535794
800	0.1475219848
801	0.1475095179
802	0.1474837629
803	0.147470757
804	0.1474262613
805	0.1474157109
806	0.1473841104
807	0.1473597157
808	0.1473476504
809	0.1473094409
810	0.1472859282
811	0.1472534405
812	0.1472268463
813	0.1472165599
814	0.1471929282
815	0.1471579549
816	0.14714562
817	0.1471101456
818	0.1470829282
819	0.1470605139
820	0.1470207564
821	0.1469980486
822	0.1469679948
823	0.146955677
824	0.146926441
825	0.1468933311
826	0.1468811422
827	0.1468596843
828	0.1468336525
829	0.1468199624
830	0.1467906557
831	0.1467603011
832	0.1467549999
833	0.1467518454
834	0.1467269442
835	0.1466996371
836	0.1466755791
837	0.1466636234
838	0.1466317583
839	0.1465991287
840	0.1465729308
841	0.146542511
842	0.1465021292
843	0.1464820545
844	0.1464518066
845	0.1464296123
846	0.1463963593
847	0.1463639657
848	0.1463468683
849	0.14632182
850	0.1463001914
851	0.1462730262
852	0.1462574042
853	0.1462382883
854	0.1462204695
855	0.1462047691
856	0.1461912272
857	0.146162792
858	0.1461344454
859	0.1461079919
860	0.1460913697
861	0.1460686177
862	0.146035804
863	0.1459967938
864	0.1459762422
865	0.1459669951
866	0.1459410407
867	0.1459032814
868	0.1458911984
869	0.1458787526
870	0.145835989
871	0.1458217859
872	0.1457959434
873	0.145784426
874	0.1457705211
875	0.1457548856
876	0.1457476364
877	0.1457266995
878	0.1456988304
879	0.1456749345
880	0.1456443542
881	0.1456371685
882	0.1456235046
883	0.1455952618
884	0.1455781712
885	0.1455600826
886	0.145537556
887	0.1455042835
888	0.1454927123
889	0.1454925742
890	0.1454744687
891	0.1454742136
892	0.1454587879
893	0.1454362577
894	0.1454108706
895	0.1453766317
896	0.1453729143
897	0.1453618518
898	0.1453506645
899	0.1453405017
900	0.145316612
901	0.1453102133
902	0.145293356
903	0.1452843281
904	0.1452710418
905	0.1452649715
906	0.1452412918
907	0.1452281353
908	0.145201575
909	0.1451689191
910	0.1451607161
911	0.1451529461
912	0.1451385411
913	0.1451281805
914	0.1451246998
915	0.1451084037
916	0.1450810673
917	0.1450577008
918	0.145048132
919	0.1450253663
920	0.1450055604
921	0.1449955548
922	0.144962653
923	0.1449431439
924	0.1449274743
925	0.1449249117
926	0.1448934838
927	0.1448863715
928	0.1448667808
929	0.1448626926
930	0.1448556636
931	0.1448360838
932	0.1448253318
933	0.1448017266
934	0.1447826428
935	0.1447661059
936	0.1447558887
937	0.1447350657
938	0.1447196387
939	0.1447044472
940	0.144688669
941	0.1446823508
942	0.1446585942
943	0.1446392662
944	0.1446328135
945	0.1446242766
946	0.1446062112
947	0.1445703549
948	0.1445610897
949	0.1445349396
950	0.1445294633
951	0.1445058111
952	0.1444658492
953	0.1444370627
954	0.1444315475
955	0.1444177649
956	0.144397762
957	0.144368028
958	0.1443427661
959	0.144342515
960	0.144317621
961	0.1443102101
962	0.1442802534
963	0.1442597243
964	0.1442261878
965	0.1442166391
966	0.1442075904
967	0.1441910721
968	0.1441787295
969	0.1441707453
970	0.1441462343
971	0.1441184232
972	0.1441149638
973	0.144090518
974	0.1440692384
975	0.1440479196
976	0.1440426319
977	0.1440211239
978	0.1439970589
979	0.1439786595
980	0.1439604528
981	0.1439441925
982	0.1439238104
983	0.1438974188
984	0.1438893958
985	0.143864743
986	0.1438411044
987	0.1438278793
988	0.1438144736
989	0.143809266
990	0.1437898937
991	0.1437838611
992	0.143779795
993	0.143761193
994	0.1437444862
995	0.1437299766
996	0.1437247565
997	0.1437160853
998	0.1436915122
999	0.1436727837
